Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
Kelarutan,Formulation x Plasticizer,E_Sorbitol,3,90.95,0.22912878474779214,0.13228756555322962,90.75,91.2,90.69071637151568,91.20928362848433
Kelarutan,Formulation x Plasticizer,F_Gliserol,3,90.08888888888889,0.13471506281090326,0.07777777777777234,89.96666666666667,90.23333333333332,89.93644444444446,90.24133333333332
Kelarutan,Formulation x Plasticizer,F_Sorbitol,3,91.10000000000001,0.05773502691895417,0.03333333333332848,91.06666666666666,91.16666666666666,91.03466666666668,91.16533333333334
Kelarutan,Formulation x Plasticizer,G_Gliserol,3,94.53333333333335,0.0288675134594817,0.016666666666666906,94.5,94.55,94.50066666666667,94.56600000000002
Kelarutan,Formulation x Plasticizer,G_Sorbitol,3,96.25,0.09013878188660347,0.05204164998665548,96.175,96.35,96.14799836602616,96.35200163397384
Kelarutan,Formulation x Plasticizer,H_Gliserol,3,97.66666666666667,0.050332229568470825,0.029059326290270675,97.62,97.72,97.60971038713774,97.7236229461956
Kelarutan,Formulation x Plasticizer,H_Sorbitol,3,97.14,0.04000000000000625,0.023094010767588644,97.1,97.18,97.09473573889552,97.18526426110448
Kelarutan,Formulation x Plasticizer,I_Gliserol,3,86.81111111111112,0.07698003589194778,0.04444444444444311,86.76666666666667,86.9,86.724,86.89822222222223
Kelarutan,Formulation x Plasticizer,I_Sorbitol,3,86.23333333333333,0.03333333333333677,0.01924500897298951,86.19999999999999,86.26666666666667,86.19561311574627,86.2710535509204
Kelarutan,Formulation x Plasticizer,J_Gliserol,3,91.64999999999999,0.06614378277661234,0.03818813079129727,91.6,91.725,91.57515126364905,91.72484873635094
Kelarutan,Formulation x Plasticizer,J_Sorbitol,3,90.08333333333333,0.05773502691896443,0.0333333333333344,90.05,90.15,90.01799999999999,90.14866666666667
Kelarutan,Formulation x Plasticizer,K_Gliserol,3,96.32,0.09165151389911871,0.05291502622129292,96.24,96.42,96.21628654860626,96.42371345139372
Kelarutan,Formulation x Plasticizer,K_Sorbitol,3,95.99333333333334,0.023094010767578384,0.013333333333329497,95.98,96.02,95.96720000000002,96.01946666666666
Kelarutan,Formulation x Plasticizer,L_Gliserol,3,97.7388888888889,0.048112522432472236,0.027777777777779754,97.68333333333334,97.76666666666668,97.68444444444445,97.79333333333334
Kelarutan,Formulation x Plasticizer,L_Sorbitol,3,96.58333333333333,0.10408329997330357,0.06009252125773139,96.5,96.7,96.46555199166818,96.70111467499848
Kelarutan,CMC x PVA x Plasticizer,1.0_0.0_Gliserol,3,85.66666666666667,0.4041451884327344,0.23333333333333126,85.29999999999998,86.09999999999998,85.20933333333335,86.124
Kelarutan,CMC x PVA x Plasticizer,1.0_0.0_Sorbitol,3,85.03333333333335,0.15275252316520613,0.08819171036882631,84.9,85.20000000000003,84.86047758101044,85.20618908565625
Kelarutan,CMC x PVA x Plasticizer,1.0_1.0_Gliserol,3,91.83333333333333,0.1527525231651957,0.08819171036882029,91.7,92.0,91.66047758101044,92.00618908565622
Kelarutan,CMC x PVA x Plasticizer,1.0_1.0_Sorbitol,3,93.81666666666666,0.20816659994661169,0.1201850425154654,93.65,94.05,93.58110398333635,94.05222934999698
Kelarutan,CMC x PVA x Plasticizer,1.0_2.0_Gliserol,3,95.1111111111111,0.08388704928080251,0.04843221048379474,95.03333333333332,95.2,95.01618397856286,95.20603824365934
Kelarutan,CMC x PVA x Plasticizer,1.0_2.0_Sorbitol,3,97.24444444444443,0.08388704928078322,0.0484322104837836,97.16666666666666,97.33333333333331,97.1495173118962,97.33937157699265
Kelarutan,CMC x PVA x Plasticizer,1.0_3.0_Gliserol,3,97.75833333333333,0.07216878364870116,0.04166666666666548,97.675,97.8,97.67666666666666,97.83999999999999
Kelarutan,CMC x PVA x Plasticizer,1.0_3.0_Sorbitol,3,97.02499999999999,0.02500000000000213,0.014433756729741875,97.0,97.05,96.9967098368097,97.05329016319028
Kelarutan,CMC x PVA x Plasticizer,2.0_0.0_Gliserol,3,95.43333333333334,0.10408329997330443,0.06009252125773188,95.35,95.55,95.31555199166819,95.55111467499849
Kelarutan,CMC x PVA x Plasticizer,2.0_0.0_Sorbitol,3,90.95,0.22912878474779214,0.13228756555322962,90.75,91.2,90.69071637151568,91.20928362848433
Kelarutan,CMC x PVA x Plasticizer,2.0_1.0_Gliserol,3,90.08888888888889,0.13471506281090326,0.07777777777777234,89.96666666666667,90.23333333333332,89.93644444444446,90.24133333333332
Kelarutan,CMC x PVA x Plasticizer,2.0_1.0_Sorbitol,3,91.10000000000001,0.05773502691895417,0.03333333333332848,91.06666666666666,91.16666666666666,91.03466666666668,91.16533333333334
Kelarutan,CMC x PVA x Plasticizer,2.0_2.0_Gliserol,3,94.53333333333335,0.0288675134594817,0.016666666666666906,94.5,94.55,94.50066666666667,94.56600000000002
Kelarutan,CMC x PVA x Plasticizer,2.0_2.0_Sorbitol,3,96.25,0.09013878188660347,0.05204164998665548,96.175,96.35,96.14799836602616,96.35200163397384
Kelarutan,CMC x PVA x Plasticizer,2.0_3.0_Gliserol,3,97.66666666666667,0.050332229568470825,0.029059326290270675,97.62,97.72,97.60971038713774,97.7236229461956
Kelarutan,CMC x PVA x Plasticizer,2.0_3.0_Sorbitol,3,97.14,0.04000000000000625,0.023094010767588644,97.1,97.18,97.09473573889552,97.18526426110448
Kelarutan,CMC x PVA x Plasticizer,3.0_0.0_Gliserol,3,86.81111111111112,0.07698003589194778,0.04444444444444311,86.76666666666667,86.9,86.724,86.89822222222223
Kelarutan,CMC x PVA x Plasticizer,3.0_0.0_Sorbitol,3,86.23333333333333,0.03333333333333677,0.01924500897298951,86.19999999999999,86.26666666666667,86.19561311574627,86.2710535509204
Kelarutan,CMC x PVA x Plasticizer,3.0_1.0_Gliserol,3,91.64999999999999,0.06614378277661234,0.03818813079129727,91.6,91.725,91.57515126364905,91.72484873635094
Kelarutan,CMC x PVA x Plasticizer,3.0_1.0_Sorbitol,3,90.08333333333333,0.05773502691896443,0.0333333333333344,90.05,90.15,90.01799999999999,90.14866666666667
Kelarutan,CMC x PVA x Plasticizer,3.0_2.0_Gliserol,3,96.32,0.09165151389911871,0.05291502622129292,96.24,96.42,96.21628654860626,96.42371345139372
Kelarutan,CMC x PVA x Plasticizer,3.0_2.0_Sorbitol,3,95.99333333333334,0.023094010767578384,0.013333333333329497,95.98,96.02,95.96720000000002,96.01946666666666
Kelarutan,CMC x PVA x Plasticizer,3.0_3.0_Gliserol,3,97.7388888888889,0.048112522432472236,0.027777777777779754,97.68333333333334,97.76666666666668,97.68444444444445,97.79333333333334
Kelarutan,CMC x PVA x Plasticizer,3.0_3.0_Sorbitol,3,96.58333333333333,0.10408329997330357,0.06009252125773139,96.5,96.7,96.46555199166818,96.70111467499848
