FTL Kimia Sorbitol,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kode,Ulangan,CMC (g),PVA (g),Total Polimer (Wi),Berat wadah (W0),Berat Wadah + Endapan (W1),Berat Endapan (Wr),Fraksi Tak Larut (%),Rata-rata FTL,STDEV,Kelarutan (%),Rata-rata Kelarutan,STDEV,Membentuk Lembaran Biofilm,
,K2,3,2,5,1.467,1.668,0.20099999999999985,4.019999999999997,,,95.98,,,ü,
,K3,3,2,5,1.923,2.122,0.19899999999999984,3.979999999999997,,,96.02000000000001,,,ü,
L,L1,3,3,6,1.697,1.904,0.20699999999999985,3.4499999999999975,3.4166666666666665,0.10408329997330443,96.55,96.58333333333333,0.10408329997330869,ü,
,L2,3,3,6,1.736,1.946,0.20999999999999996,3.4999999999999996,,,96.5,,,ü,
,L3,3,3,6,1.396,1.594,0.19800000000000018,3.300000000000003,,,96.7,,,ü,
,,,,,,,,,,,,,,,
FTL Kimia Gliserol,,,,,,,,,,,,,,,
Kode,Ulangan,CMC (g),PVA (g),Total Polimer (Wi),Berat wadah (W0),Berat Wadah + Endapan (W1),Berat Endapan (Wr),Fraksi Tak Larut (%),Rata-rata FTL,STDEV,Kelarutan (%),Rata-rata Kelarutan,STDEV,Membentuk Lembaran Biofilm,
,,,,,,,,,,,,,,Ya,Tidak
A,A1,1,0,1,1.75,1.894,0.1439999999999999,14.399999999999991,14.333333333333348,0.40414518843273567,85.60000000000001,85.66666666666667,0.4041451884327344,,ü
,A2,1,0,1,1.892,2.031,0.13900000000000023,13.900000000000023,,,86.09999999999998,,,,ü
,A3,1,0,1,1.908,2.055,0.14700000000000024,14.700000000000024,,,85.29999999999998,,,,ü
B,B1,1,1,2,1.789,1.953,0.16400000000000015,8.200000000000006,8.166666666666666,0.15275252316519608,91.8,91.83333333333333,0.15275252316519375,ü,
,B2,1,1,2,1.245,1.411,0.16599999999999993,8.299999999999997,,,91.7,,,ü,
,B3,1,1,2,1.359,1.519,0.15999999999999992,7.9999999999999964,,,92,,,ü,
C,C1,1,2,3,1.713,1.857,0.1439999999999999,4.799999999999996,4.888888888888885,0.08388704928078769,95.2,95.11111111111113,0.08388704928078793,ü,
,C2,1,2,3,1.903,2.05,0.1469999999999998,4.899999999999993,,,95.10000000000001,,,ü,
,C3,1,2,3,1.336,1.485,0.14900000000000002,4.966666666666667,,,95.03333333333333,,,ü,
D,D1,1,3,4,1.684,1.772,0.08800000000000008,2.200000000000002,2.241666666666666,0.07216878364870323,97.8,97.75833333333333,0.07216878364870322,ü,
,D2,1,3,4,1.239,1.327,0.08799999999999986,2.1999999999999966,,,97.8,,,ü,
,D3,1,3,4,1.736,1.829,0.09299999999999997,2.3249999999999993,,,97.675,,,ü,
E,E1,2,0,2,1.932,2.024,0.09200000000000008,4.600000000000004,4.566666666666667,0.10408329997330762,95.39999999999999,95.43333333333334,0.10408329997330869,,ü
,E2,2,0,2,1.457,1.55,0.09299999999999997,4.649999999999999,,,95.35,,,,ü
,E3,2,0,2,1.45,1.539,0.08899999999999997,4.449999999999998,,,95.55,,,,ü
F,F1,2,1,3,1.744,2.042,0.2979999999999998,9.933333333333326,9.911111111111106,0.13471506281091272,90.06666666666668,90.0888888888889,0.13471506281091147,ü,
,F2,2,1,3,1.389,1.69,0.30099999999999993,10.033333333333331,,,89.96666666666667,,,ü,
,F3,2,1,3,1.872,2.165,0.2929999999999999,9.766666666666664,,,90.23333333333333,,,ü,
