Response,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max
FTL,CMC x PVA x Plasticizer,3.0_1.0_Gliserol,3,8.350000000000001,0.0661437827766172,0.0381881307913,8.274999999999999,8.400000000000002
FTL,CMC x PVA x Plasticizer,3.0_1.0_Sorbitol,3,9.916666666666664,0.0577350269189608,0.0333333333333323,9.849999999999998,9.949999999999998
FTL,CMC x PVA x Plasticizer,3.0_2.0_Gliserol,3,3.680000000000002,0.0916515138991134,0.0529150262212898,3.5800000000000054,3.759999999999999
FTL,CMC x PVA x Plasticizer,3.0_2.0_Sorbitol,3,4.006666666666663,0.0230940107675849,0.0133333333333332,3.979999999999997,4.019999999999997
FTL,CMC x PVA x Plasticizer,3.0_3.0_Gliserol,3,2.2611111111111115,0.0481125224324652,0.0277777777777757,2.2333333333333356,2.316666666666663
FTL,CMC x PVA x Plasticizer,3.0_3.0_Sorbitol,3,3.4166666666666665,0.1040832999733045,0.0600925212577319,3.300000000000003,3.4999999999999996
Kelarutan,CMC,1.0,24,92.93611111111112,4.855354424359909,0.9910950716705432,84.9,97.8
Kelarutan,CMC,2.0,24,94.14527777777778,2.880469829945074,0.5879734419039054,89.96666666666667,97.72
Kelarutan,CMC,3.0,24,92.67666666666668,4.40682603474236,0.8995395975276064,86.19999999999999,97.76666666666668
Kelarutan,PVA,0.0,18,88.35462962962964,3.8075896238494,0.8974574809998155,84.9,95.55
Kelarutan,PVA,1.0,18,91.4287037037037,1.307814066499705,0.308254731651032,89.96666666666667,94.05
Kelarutan,PVA,2.0,18,95.9087037037037,0.9035343737571015,0.2129650942395957,94.5,97.33333333333331
Kelarutan,PVA,3.0,18,97.3187037037037,0.4534737223348474,0.106884781384292,96.5,97.8
Kelarutan,Plasticizer,Gliserol,36,93.38430555555556,4.064784563982115,0.6774640939970191,85.29999999999998,97.8
Kelarutan,Plasticizer,Sorbitol,36,93.12106481481482,4.2415113761970655,0.7069185626995109,84.9,97.33333333333331
Kelarutan,Formulation,A,6,85.35000000000001,0.4415880433163843,0.1802775637731962,84.9,86.09999999999998
Kelarutan,Formulation,B,6,92.825,1.0985217339679694,0.448469619929822,91.7,94.05
Kelarutan,Formulation,C,6,96.17777777777776,1.1708812762030767,0.4780102793460523,95.03333333333332,97.33333333333331
Kelarutan,Formulation,D,6,97.39166666666668,0.4045573712919658,0.1651598552244993,97.0,97.8
Kelarutan,Formulation,E,6,93.19166666666666,2.460775622982857,1.004607441297899,90.75,95.55
Kelarutan,Formulation,F,6,90.59444444444443,0.5615125076935463,0.229236521339967,89.96666666666667,91.16666666666666
Kelarutan,Formulation,G,6,95.39166666666668,0.9421606374003596,0.3846354695610403,94.5,96.35
Kelarutan,Formulation,H,6,97.40333333333332,0.2913188402192125,0.1189304184994088,97.1,97.72
Kelarutan,Formulation,I,6,86.52222222222223,0.3208784239598601,0.1309980680283516,86.19999999999999,86.9
Kelarutan,Formulation,J,6,90.86666666666667,0.8598934042465157,0.3510500122647915,90.05,91.725
Kelarutan,Formulation,K,6,96.15666666666668,0.1886442860694833,0.0770137072936425,95.98,96.42
Kelarutan,Formulation,L,6,97.16111111111113,0.637065029531409,0.2600807092205081,96.5,97.76666666666668
Kelarutan,Formulation x Plasticizer,A_Gliserol,3,85.66666666666667,0.4041451884327344,0.2333333333333312,85.29999999999998,86.09999999999998
Kelarutan,Formulation x Plasticizer,A_Sorbitol,3,85.03333333333335,0.1527525231652061,0.0881917103688263,84.9,85.20000000000003
Kelarutan,Formulation x Plasticizer,B_Gliserol,3,91.83333333333331,0.1527525231651957,0.0881917103688202,91.7,92.0
Kelarutan,Formulation x Plasticizer,B_Sorbitol,3,93.81666666666666,0.2081665999466116,0.1201850425154654,93.65,94.05
Kelarutan,Formulation x Plasticizer,C_Gliserol,3,95.1111111111111,0.0838870492808025,0.0484322104837947,95.03333333333332,95.2
Kelarutan,Formulation x Plasticizer,C_Sorbitol,3,97.24444444444444,0.0838870492807832,0.0484322104837836,97.16666666666666,97.33333333333331
Kelarutan,Formulation x Plasticizer,D_Gliserol,3,97.75833333333333,0.0721687836487011,0.0416666666666654,97.675,97.8
Kelarutan,Formulation x Plasticizer,D_Sorbitol,3,97.025,0.0250000000000021,0.0144337567297418,97.0,97.05
Kelarutan,Formulation x Plasticizer,E_Gliserol,3,95.43333333333334,0.1040832999733044,0.0600925212577318,95.35,95.55
Kelarutan,Formulation x Plasticizer,E_Sorbitol,3,90.95,0.2291287847477921,0.1322875655532296,90.75,91.2
Kelarutan,Formulation x Plasticizer,F_Gliserol,3,90.08888888888887,0.1347150628109032,0.0777777777777723,89.96666666666667,90.23333333333332
Kelarutan,Formulation x Plasticizer,F_Sorbitol,3,91.1,0.0577350269189541,0.0333333333333284,91.06666666666666,91.16666666666666
Kelarutan,Formulation x Plasticizer,G_Gliserol,3,94.53333333333336,0.0288675134594817,0.0166666666666669,94.5,94.55
Kelarutan,Formulation x Plasticizer,G_Sorbitol,3,96.25,0.0901387818866034,0.0520416499866554,96.175,96.35
Kelarutan,Formulation x Plasticizer,H_Gliserol,3,97.66666666666669,0.0503322295684708,0.0290593262902706,97.62,97.72
Kelarutan,Formulation x Plasticizer,H_Sorbitol,3,97.14,0.0400000000000062,0.0230940107675886,97.1,97.18
Kelarutan,Formulation x Plasticizer,I_Gliserol,3,86.81111111111112,0.0769800358919477,0.0444444444444431,86.76666666666667,86.9
Kelarutan,Formulation x Plasticizer,I_Sorbitol,3,86.23333333333333,0.0333333333333367,0.0192450089729895,86.19999999999999,86.26666666666667
Kelarutan,Formulation x Plasticizer,J_Gliserol,3,91.65,0.0661437827766123,0.0381881307912972,91.6,91.725
Kelarutan,Formulation x Plasticizer,J_Sorbitol,3,90.08333333333331,0.0577350269189644,0.0333333333333344,90.05,90.15
Kelarutan,Formulation x Plasticizer,K_Gliserol,3,96.32,0.0916515138991187,0.0529150262212929,96.24,96.42
Kelarutan,Formulation x Plasticizer,K_Sorbitol,3,95.99333333333334,0.0230940107675783,0.0133333333333294,95.98,96.02
Kelarutan,Formulation x Plasticizer,L_Gliserol,3,97.7388888888889,0.0481125224324722,0.0277777777777797,97.68333333333334,97.76666666666668
Kelarutan,Formulation x Plasticizer,L_Sorbitol,3,96.58333333333331,0.1040832999733035,0.0600925212577313,96.5,96.7
Kelarutan,CMC x PVA x Plasticizer,1.0_0.0_Gliserol,3,85.66666666666667,0.4041451884327344,0.2333333333333312,85.29999999999998,86.09999999999998
Kelarutan,CMC x PVA x Plasticizer,1.0_0.0_Sorbitol,3,85.03333333333335,0.1527525231652061,0.0881917103688263,84.9,85.20000000000003
Kelarutan,CMC x PVA x Plasticizer,1.0_1.0_Gliserol,3,91.83333333333331,0.1527525231651957,0.0881917103688202,91.7,92.0
Kelarutan,CMC x PVA x Plasticizer,1.0_1.0_Sorbitol,3,93.81666666666666,0.2081665999466116,0.1201850425154654,93.65,94.05
