Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,FTL,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
A,3.0,1.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,46,14.700000000000024,3.4443430362637413,3.9280976671973393,0.33333333333333404,0.24715622815538676,True
B,1.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,47,8.200000000000006,0.31312209420597653,0.3101601690594173,0.33333333333333337,0.0020426134558320097,False
B,2.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,48,8.299999999999997,1.252488376823272,1.2601357668341746,0.33333333333333337,0.03268181529327906,False
B,3.0,1.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,49,7.9999999999999964,-1.5656104710288814,-1.590354243149861,0.33333333333333337,0.05106533639573493,False
C,1.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,50,4.799999999999996,-0.8349922512153226,-0.832315543530594,0.333333333333333,0.014525251241450654,False
C,2.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,51,4.899999999999993,0.10437403140203108,0.10329280166920182,0.333333333333333,0.0002269570506481699,False
C,3.0,1.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,52,4.966666666666667,0.7306182198136836,0.7270214232221616,0.333333333333333,0.01112089548174407,False
D,1.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,53,2.200000000000002,-0.3914026177571286,-0.387923588073926,0.3333333333333333,0.0031915835247319354,False
D,2.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,54,2.1999999999999966,-0.3914026177571786,-0.38792358807397576,0.3333333333333333,0.003191583524732751,False
D,3.0,1.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,55,2.3249999999999993,0.7828052355145743,0.7796004002910208,0.3333333333333333,0.012766334098938082,False
