Formulation,Replicate,CMC,PVA,Plasticizer,source_file,source_sheet,source_block,source_row,Kelarutan,Standardized_Resid,Studentized_Resid,Leverage,Cooks_D,Flagged_Outlier
E,2.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,57,95.35,-0.7828052355116365,-0.7796004002880956,0.33333333333333254,0.012766334098842222,False
E,3.0,2.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,58,95.55,1.0959273297231524,1.0982789575394982,0.33333333333333254,0.025022014834044065,False
F,1.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,59,90.06666666666668,-0.20874806280042435,-0.20665598433946455,0.333333333333333,0.0009078282025610384,False
F,2.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,60,89.96666666666667,-1.1481143454178857,-1.152020268147394,0.333333333333333,0.027461803128215383,False
F,3.0,2.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,61,90.23333333333332,1.3568624082283223,1.3691685013266683,0.333333333333333,0.03835574155964916,False
G,1.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,62,94.55,0.1565610471062253,0.1549611900158799,0.333333333333333,0.0005106533639791179,False
G,2.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,63,94.5,-0.3131220942024387,-0.31016016905591276,0.333333333333333,0.0020426134557858487,False
G,3.0,2.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,64,94.55,0.1565610471062253,0.1549611900158799,0.333333333333333,0.0005106533639791179,False
H,1.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,65,97.66,-0.06262441883803149,-0.06197117940540671,0.3333333333333331,8.170453822502477e-05,False
H,2.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,66,97.72,0.5009953507324187,0.4970504457564961,0.3333333333333331,0.005229090446989562,False
H,3.0,2.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,67,97.62,-0.4383709318849093,-0.43465147488563005,0.3333333333333331,0.004003522373367574,False
I,1.0,3.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,68,86.76666666666668,-0.4174961256052539,-0.41387645883328783,0.3333333333333326,0.003631312810320778,False
I,2.0,3.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,69,86.76666666666667,-0.41749612560538735,-0.4138764588334207,0.3333333333333326,0.0036313128103230997,False
I,3.0,3.0,0.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,70,86.9,0.8349922512178498,0.832315543533113,0.3333333333333326,0.01452525124153855,False
J,1.0,3.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,71,91.625,-0.23484157065092795,-0.2325160442259264,0.33333333333333304,0.0011489700688707232,False
J,2.0,3.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,72,91.725,0.7045247119664,0.7007799907171793,0.33333333333333304,0.010340730620236212,False
J,3.0,3.0,1.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,73,91.6,-0.4696831413053267,-0.46583655498132903,0.33333333333333304,0.004595880275550817,False
K,1.0,3.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,74,96.3,-0.1878732565198346,-0.1859743329131065,0.333333333333333,0.0007353408440701567,False
K,2.0,3.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,75,96.42,0.9393662826210658,0.9381933659737687,0.333333333333333,0.018383521102610805,False
K,3.0,3.0,2.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,76,96.24,-0.7514930260902849,-0.7480372914789433,0.333333333333333,0.011765453505465265,False
L,1.0,3.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,77,97.76666666666668,0.26093507850797265,0.2583860216634941,0.33333333333333304,0.0014184815665825366,False
L,2.0,3.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,78,97.76666666666668,0.26093507850797265,0.2583860216634941,0.33333333333333304,0.0014184815665825366,False
L,3.0,3.0,3.0,Gliserol,pengujian (ANOVA)_Kelarutan_Matriks,Kelarutan Matriks,Gliserol,79,97.68333333333334,-0.5218701570066008,-0.5178766844663478,0.33333333333333304,0.005673926266126953,False
